地域,所在地都道府県,所在地市区町村,区,種別,公園名,所在地,緯度,経度
九州,福岡県,福岡市,東区,国営,雁の巣レクリエーションセンター,大字奈多字裏附1429番外,33.68174421,130.39792653
九州,福岡県,福岡市,東区,都市緑地,青葉公園,青葉五丁目529-33外,33.64742335,130.46057475
九州,福岡県,福岡市,東区,総合,アイランドシティ中央公園,香椎照葉四丁目23-9外,33.66425603,130.42096897
九州,福岡県,福岡市,東区,風致,青葉の杜公園,みどりが丘一丁目886−122,33.65125451,130.46784692
九州,福岡県,福岡市,東区,歴史,金印公園,大字志賀島字古戸1863，1870，1872−1外,33.66058264,130.30090769
九州,福岡県,福岡市,東区,地区,汐井公園,箱崎ふ頭二丁目4，箱崎ふ頭一丁目9,33.62279209,130.41559678
九州,福岡県,福岡市,東区,地区,箱崎公園,原田四丁目127−1外,33.62156097,130.44138019
九州,福岡県,福岡市,東区,地区,香椎浜公園,香椎浜三丁目21-2の一部,33.65151517,130.42023464
九州,福岡県,福岡市,東区,近隣,貝塚公園,箱崎七丁目4125−1，4125−10，4128−15外,33.63255449,130.4246839
九州,福岡県,福岡市,東区,近隣,社領南公園,社領三丁目1,33.60938276,130.43316809
九州,福岡県,福岡市,東区,近隣,潮見公園,大字志賀島968−1外,33.67496236,130.30646174
九州,福岡県,福岡市,東区,都市緑地,城浜公園,城浜団地1−48外,33.64921042,130.42114675
九州,福岡県,福岡市,東区,近隣,箱崎ふ頭記念公園,箱崎ふ頭五丁目6,33.63405041,130.41864849
九州,福岡県,福岡市,東区,近隣,美和台中央公園,美和台二丁目346,33.70097533,130.42887652
九州,福岡県,福岡市,東区,近隣,高美台南公園,高美台二丁目213−1,33.68766588,130.44550405
九州,福岡県,福岡市,東区,近隣,松崎中央公園,水谷一丁目252−108,33.6484129,130.44691297
九州,福岡県,福岡市,東区,近隣,香椎浜南公園,香椎浜一丁目7−40,33.65362392,130.43081329
九州,福岡県,福岡市,東区,近隣,香椎浜西公園,香椎浜二丁目7−52,33.65377813,130.42938062
九州,福岡県,福岡市,東区,近隣,上和白中央公園,高美台四丁目1−72外,33.69437925,130.44392792
九州,福岡県,福岡市,東区,近隣,香椎浜東公園,香椎浜四丁目7−76,33.65736674,130.43309883
九州,福岡県,福岡市,東区,近隣,香椎浜北公園,香椎浜三丁目7−99,33.65956143,130.42822103
九州,福岡県,福岡市,東区,近隣,みどりが丘公園,みどりが丘三丁目204−1外,33.64649169,130.47651612
九州,福岡県,福岡市,東区,近隣,宮の台中央公園,香椎三丁目910−1,33.65902932,130.45574643
